activity_id,deal_id,activity_type,activity_date,details
1,1,email,2025-11-20,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""In language instead fear president from.""}"
2,1,email,2025-11-24,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Fall nation pressure at finish blood.""}"
3,1,demo,2025-12-01,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""When possible painting cover investment study lay base.""}"
4,1,meeting,2025-12-10,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Skin remember still deal stay security man.""}"
5,1,meeting,2025-12-15,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Really four pick green simple.""}"
6,1,demo,2025-12-17,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Such dream sure compare station every use.""}"
7,1,demo,2025-12-23,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Check firm throw entire treatment million.""}"
8,2,call,2025-08-21,"{""call_duration"": 484, ""outcome"": ""positive"", ""notes"": ""Necessary himself instead north short because successful.""}"
9,2,demo,2025-08-22,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Room store pattern since loss.""}"
10,2,demo,2025-08-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Knowledge condition represent customer space foot cultural.""}"
11,3,meeting,2025-08-23,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Everyone spring mean unit present save.""}"
12,3,demo,2025-08-29,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Still money event between hot idea red hospital.""}"
13,3,call,2025-09-02,"{""call_duration"": 140, ""outcome"": ""neutral"", ""notes"": ""Character this analysis activity.""}"
14,3,email,2025-09-12,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Discussion citizen room either thus assume use.""}"
15,3,email,2025-09-22,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Allow there quality federal performance this team.""}"
16,3,call,2025-09-29,"{""call_duration"": 264, ""outcome"": ""neutral"", ""notes"": ""Itself institution yes figure medical relate financial draw.""}"
17,4,demo,2026-03-04,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Rate summer I hospital next.""}"
18,5,meeting,2025-07-13,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Work here return west lot partner kitchen time.""}"
19,5,call,2025-07-20,"{""call_duration"": 374, ""outcome"": ""positive"", ""notes"": ""Week list someone rest control physical authority get.""}"
20,5,meeting,2025-07-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Since level born issue total fire woman.""}"
21,6,call,2025-07-20,"{""call_duration"": 366, ""outcome"": ""neutral"", ""notes"": ""Senior top less out although just reality.""}"
22,6,meeting,2025-07-24,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Else spend energy executive before.""}"
23,6,call,2025-07-25,"{""call_duration"": 529, ""outcome"": ""negative"", ""notes"": ""Employee recently four democratic.""}"
24,6,email,2025-07-29,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Be lose billion guess treat.""}"
25,6,demo,2025-07-31,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Pattern whom key less walk magazine model.""}"
26,7,demo,2025-08-27,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Show receive end choose artist fill college.""}"
27,7,demo,2025-09-03,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Manager happy who increase avoid particular.""}"
28,7,meeting,2025-09-04,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""My action agency low letter long hot much.""}"
29,7,meeting,2025-09-11,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Skin current miss energy enough chair officer.""}"
30,7,demo,2025-09-14,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Worry yourself mean any community without cold court.""}"
31,8,call,2025-08-29,"{""call_duration"": 421, ""outcome"": ""positive"", ""notes"": ""Capital serious year that.""}"
32,9,email,2025-04-10,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Picture store never box.""}"
33,9,email,2025-04-20,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Wide food industry bag.""}"
34,9,demo,2025-04-23,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Then medical skin foot thing now serious.""}"
35,9,demo,2025-04-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Popular save local simply cup.""}"
36,9,meeting,2025-05-06,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Born place hit.""}"
37,9,meeting,2025-05-07,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Defense probably describe see term require.""}"
38,10,demo,2026-02-18,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""History piece middle court.""}"
39,10,demo,2026-02-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Specific piece shake bit focus report.""}"
40,10,email,2026-03-01,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""New smile white air service.""}"
41,11,meeting,2025-08-11,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Peace prepare participant dog nation.""}"
42,12,demo,2026-02-16,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Image quality action future.""}"
43,12,call,2026-02-17,"{""call_duration"": 146, ""outcome"": ""positive"", ""notes"": ""Wind able network score space car watch.""}"
44,12,demo,2026-02-18,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Party reach federal job hundred trip walk view.""}"
45,12,demo,2026-02-20,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Gun avoid thus.""}"
46,13,demo,2025-11-30,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Debate fast less moment thank him simply.""}"
47,13,demo,2025-12-04,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Growth subject weight sense information.""}"
48,13,email,2025-12-06,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Reach off political game raise against.""}"
49,13,meeting,2025-12-16,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Meeting themselves want itself.""}"
50,14,call,2025-12-15,"{""call_duration"": 352, ""outcome"": ""negative"", ""notes"": ""Have miss college behavior despite hand.""}"
51,14,call,2025-12-16,"{""call_duration"": 455, ""outcome"": ""positive"", ""notes"": ""Move western town speech though issue total.""}"
52,14,call,2025-12-23,"{""call_duration"": 583, ""outcome"": ""negative"", ""notes"": ""Agreement also include campaign.""}"
53,14,meeting,2025-12-26,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Grow week my interest however space easy.""}"
54,14,demo,2025-12-29,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Final reduce professor always key all responsibility.""}"
55,14,email,2025-12-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Commercial color here right.""}"
56,15,email,2025-09-28,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""If north others change management concern language.""}"
57,15,meeting,2025-10-08,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""World individual may focus.""}"
58,16,meeting,2025-06-15,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Occur radio central participant political specific continue.""}"
59,16,email,2025-06-25,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Important less of amount term morning turn.""}"
60,16,email,2025-07-02,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Politics second let into.""}"
61,17,meeting,2025-05-12,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Always simply might site friend.""}"
62,17,demo,2025-05-14,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Simply method decide purpose measure generation city.""}"
63,17,demo,2025-05-20,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Front public task form power challenge later collection.""}"
64,18,demo,2025-03-29,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""It six else success between already.""}"
65,18,email,2025-04-07,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Push star magazine letter car decision.""}"
66,18,email,2025-04-12,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Model southern program development pattern.""}"
67,18,demo,2025-04-19,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Understand consumer act plan term hour.""}"
68,18,meeting,2025-04-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Local finally also.""}"
69,19,meeting,2026-03-02,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Owner reason radio.""}"
70,19,email,2026-03-10,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Choose always physical seem they.""}"
71,19,meeting,2026-03-14,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Policy but democratic fund now you final.""}"
72,19,call,2026-03-15,"{""call_duration"": 575, ""outcome"": ""negative"", ""notes"": ""Attack door seem third amount.""}"
73,19,call,2026-03-16,"{""call_duration"": 254, ""outcome"": ""negative"", ""notes"": ""Box suggest page capital knowledge.""}"
74,20,call,2025-10-25,"{""call_duration"": 238, ""outcome"": ""positive"", ""notes"": ""Firm increase now child organization suggest account.""}"
75,20,meeting,2025-11-04,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Democratic a no common house their.""}"
76,20,email,2025-11-12,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Respond member campaign continue recognize catch threat.""}"
77,21,demo,2025-07-12,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Represent and explain meeting individual well challenge.""}"
78,22,demo,2025-11-07,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""System floor moment method him work similar.""}"
79,23,email,2026-01-19,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Seven half suffer smile explain ago health.""}"
80,23,meeting,2026-01-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""They site second risk detail.""}"
81,23,meeting,2026-01-23,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Talk final number affect level.""}"
82,24,demo,2025-05-04,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Fly understand billion free.""}"
83,25,meeting,2025-10-05,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Parent film task sort they mother certainly.""}"
84,25,email,2025-10-07,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Recent with agent be.""}"
85,25,meeting,2025-10-13,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Past difference population trip face happy.""}"
86,25,meeting,2025-10-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Two throughout type spend art.""}"
87,25,email,2025-10-27,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Actually never require nation policy institution.""}"
88,26,email,2025-12-28,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Life black property dream military rate.""}"
89,26,email,2025-12-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Per two job church suffer very sea possible.""}"
90,26,meeting,2026-01-06,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Industry guy better realize cup door bring newspaper.""}"
91,26,demo,2026-01-15,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Cell just avoid summer.""}"
92,27,email,2025-05-15,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Yourself nor everyone conference.""}"
93,28,demo,2025-10-15,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Interest common home.""}"
94,28,call,2025-10-21,"{""call_duration"": 294, ""outcome"": ""positive"", ""notes"": ""Should newspaper human hospital.""}"
95,29,demo,2026-02-21,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Idea turn off do research.""}"
96,29,meeting,2026-03-01,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Significant bill against they.""}"
97,29,call,2026-03-06,"{""call_duration"": 200, ""outcome"": ""positive"", ""notes"": ""Indeed almost friend reality debate only.""}"
98,29,demo,2026-03-15,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Maintain worker fund more article.""}"
99,30,meeting,2025-06-14,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Walk own food war any my.""}"
100,30,call,2025-06-23,"{""call_duration"": 472, ""outcome"": ""positive"", ""notes"": ""Letter heart smile position race message edge.""}"
101,30,email,2025-07-01,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Participant bill happen face eight include data.""}"
102,31,call,2025-10-07,"{""call_duration"": 108, ""outcome"": ""negative"", ""notes"": ""Happy find skill parent lawyer over paper use.""}"
103,32,call,2025-09-28,"{""call_duration"": 323, ""outcome"": ""neutral"", ""notes"": ""Raise close plan include floor future.""}"
104,32,call,2025-10-04,"{""call_duration"": 218, ""outcome"": ""positive"", ""notes"": ""Take buy feeling government decade.""}"
105,32,email,2025-10-05,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Information people such without right.""}"
106,32,demo,2025-10-14,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Onto character television husband air type section.""}"
107,32,call,2025-10-24,"{""call_duration"": 569, ""outcome"": ""negative"", ""notes"": ""Whether hour want official main heavy.""}"
108,32,meeting,2025-10-30,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""With own low develop yourself.""}"
109,32,meeting,2025-11-07,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Family trial nearly.""}"
110,33,email,2025-08-25,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Piece president any reflect a billion.""}"
111,33,email,2025-09-03,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Join more letter soldier everybody.""}"
112,33,meeting,2025-09-04,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Table number dinner deep already side.""}"
113,33,meeting,2025-09-12,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Although mention wonder network there quality.""}"
114,33,demo,2025-09-19,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Near even dinner than particularly.""}"
115,34,demo,2025-12-20,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Build already although form involve reveal ability.""}"
116,34,email,2025-12-25,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Heavy across debate discussion industry technology wife thing.""}"
117,34,call,2026-01-02,"{""call_duration"": 503, ""outcome"": ""neutral"", ""notes"": ""Media artist girl nearly hospital.""}"
118,35,call,2025-03-30,"{""call_duration"": 478, ""outcome"": ""positive"", ""notes"": ""Along suffer participant wear outside white be.""}"
119,35,meeting,2025-04-02,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Middle tree feeling police.""}"
120,35,demo,2025-04-06,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Imagine deal evidence property energy enter.""}"
121,36,demo,2026-01-12,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Everybody administration return organization good brother leave.""}"
122,36,demo,2026-01-15,"{""call_duration"": null, ""outcome"": ""neutral"", ""notes"": ""Fill product dark.""}"
123,36,demo,2026-01-18,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Environmental out reveal film something wish join.""}"
124,37,call,2025-04-13,"{""call_duration"": 75, ""outcome"": ""negative"", ""notes"": ""Month scientist never law right relationship.""}"
125,37,meeting,2025-04-19,"{""call_duration"": null, ""outcome"": ""negative"", ""notes"": ""Might treatment edge.""}"
126,37,meeting,2025-04-24,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Wide from quickly peace.""}"
127,38,meeting,2025-05-03,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Produce industry score majority Democrat.""}"
128,38,meeting,2025-05-12,"{""call_duration"": null, ""outcome"": ""positive"", ""notes"": ""Doctor lot do energy hard Mr tend.""}"
